configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs,etime
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,799519,3.35,0.81, 0:01.07,387,600,867.28,319.49,1.07
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,375321,9.64,0.87, 0:01.59,659,600,491.34,149.98,1.59
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,443596,7.57,0.74, 0:01.36,611,600,604.03,177.26,1.36
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,442621,9.34,0.62, 0:01.43,693,600,648.83,176.87,1.43
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,424011,7.74,0.65, 0:01.23,679,600,660.61,169.43,1.23
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,435085,8.35,0.72, 0:01.31,689,600,632.51,173.86,1.31
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,404057,5.37,1.01, 0:01.44,442,600,568.64,161.46,1.44
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,684387,7.04,0.57, 0:01.40,543,600,594.85,273.48,1.4
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,371280,6.81,0.65, 0:01.27,585,600,633.11,148.36,1.27
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,377284,7.77,0.84, 0:01.39,615,600,586.29,150.76,1.39
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,454141,7.46,0.67, 0:01.41,575,600,581.44,181.47,1.41
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,766580,4.8,0.58, 0:01.07,503,600,858.11,306.33,1.07
111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,479555,9.72,0.61, 0:01.43,718,600,567.42,191.63,1.43
112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,394157,9.17,0.73, 0:01.48,669,600,551.77,157.51,1.48
113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,395924,9.58,0.74, 0:01.49,691,600,545.71,158.21,1.49
114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,389429,9.28,0.89, 0:01.39,727,600,597.11,155.62,1.39
115,1,7,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,0,459619,11.25,0.55, 0:01.41,837,600,562.82,183.66,1.41
116,1,3,1:0:0,0x3:0x113,hex,10,1,16,1,1,1,0,3,2,1,auto,1,0,1,40,40,1,69,1,397345,9.94,0.73, 0:01.89,563,600,383.0,158.78,1.89
117,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,392434,9.61,0.75, 0:01.49,693,600,548.15,156.82,1.49
