configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs,etime
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,89095787,15.19,1.03, 0:01.78,908,600,447.39,35602.71,1.78
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,47307200,64.36,1.64, 0:05.99,1100,600,110.14,18903.98,5.99
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,69483018,66.16,1.4, 0:04.78,1411,600,139.08,27765.44,4.78
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,69234140,80.35,1.39, 0:04.66,1754,600,142.24,27665.99,4.66
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,42671392,100.45,1.61, 0:05.42,1882,600,123.43,17051.51,5.42
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,43437238,70.35,1.56, 0:03.90,1840,600,177.43,17357.54,3.9
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,69232580,59.09,1.31, 0:03.47,1736,600,200.06,27665.37,3.47
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,62475930,62.69,1.42, 0:03.68,1740,600,191.19,24965.41,3.68
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,48418620,50.69,1.55, 0:04.59,1137,600,145.05,19348.1,4.59
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,48993254,60.27,1.61, 0:04.73,1306,600,144.5,19577.72,4.73
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,72919903,65.06,1.43, 0:05.05,1316,600,132.96,29138.82,5.05
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,71038171,19.71,1.3, 0:01.79,1172,600,447.93,28386.88,1.79
111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,42765726,119.07,1.3, 0:06.98,1722,600,92.03,17089.2,6.98
112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,49695861,78.91,1.79, 0:05.50,1467,600,119.35,19858.49,5.5
113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,49085954,86.62,1.5, 0:05.36,1642,600,122.61,19614.77,5.36
114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,47659794,62.59,1.47, 0:04.85,1318,600,136.89,19044.87,4.85
115,1,7,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,0,72889778,105.58,1.78, 0:06.07,1767,600,107.19,29126.79,6.07
116,1,3,1:0:0,0x3:0x113,hex,10,1,16,1,1,1,0,3,2,1,auto,1,0,1,40,40,1,69,1,49152541,120.47,1.32, 0:08.79,1384,600,72.02,19641.38,8.79
117,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,49690385,79.18,1.75, 0:05.65,1430,600,117.99,19856.3,5.65
118,0,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,60493631,83.12,1.62, 0:05.38,1573,600,124.22,24173.28,5.38
119,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,47381706,71.79,1.85, 0:05.27,1395,600,126.95,18933.75,5.27
120,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,1,69,1,47378160,76.34,1.43, 0:05.77,1347,600,114.41,18932.33,5.77
12,0,1,1:0:0,0:0,dia,2,0,24,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,71038171,20.19,1.06, 0:01.76,1206,600,459.37,28386.88,1.76
121,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,spatial,1,0,2,40,40,1,69,0,70756638,78.57,1.59, 0:05.99,1336,600,108.2,28274.38,5.99
122,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,1,40,40,1,69,1,47429701,71.35,1.42, 0:04.90,1483,600,134.58,18952.93,4.9
123,1,3,1:0:0,0x3:0x113,hex,11,1,16,0,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,48662451,100.32,1.57, 0:09.10,1118,600,69.21,19445.54,9.1
124,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,0,50,0,69,0,50732022,81.81,1.3, 0:04.79,1733,600,138.15,20272.54,4.79
125,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,0,69,0,52775393,69.9,1.39, 0:04.58,1554,600,144.83,21089.07,4.58
126,1,3,0:0:0,0x3:0x3,hex,7,1,16,1,0,0,-2,16,2,1,auto,1,0,2,0,50,0,69,0,51743787,74.44,1.29, 0:04.30,1758,600,155.93,20676.84,4.3
127,1,5,1:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,48665327,60.87,2.13, 0:03.99,1578,600,175.42,19446.69,3.99
128,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,48927108,60.0,1.8, 0:04.37,1412,600,153.78,19551.29,4.37
129,0,5,0:0:0,0x3:0x3,dia,4,1,24,1,0,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,59497314,66.81,1.55, 0:04.11,1662,600,164.24,23775.15,4.11
130,1,5,0:0:0,0x3:0x113,dia,4,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,41315966,47.63,1.38, 0:03.23,1515,600,216.43,16509.88,3.23
13,0,1,1:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,88883718,13.87,1.15, 0:01.66,900,600,484.75,35517.97,1.66
131,1,5,0:0:0,0x3:0x3,dia,4,0,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,42798204,57.83,1.77, 0:03.22,1850,600,225.62,17102.18,3.22
132,1,7,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,42527813,65.12,1.46, 0:03.40,1953,600,211.45,16994.13,3.4
133,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,auto,1,0,2,40,20,0,69,1,42559548,58.25,1.43, 0:03.27,1825,600,213.75,17006.81,3.27
134,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,None,1,69,1,49690385,87.1,1.35, 0:05.86,1507,600,111.25,19856.3,5.86
135,1,3,1:0:0,0x3:0x113,hex,11,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,45552102,92.97,1.35, 0:06.84,1377,600,95.24,18202.64,6.84
136,1,5,0:0:0,0x3:0x113,hex,7,1,16,1,1,1,0,0,None,None,None,None,None,0,0,None,1,69,0,72798165,76.12,1.32, 0:05.76,1343,600,115.06,29090.18,5.76
137,1,3,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,45143931,62.1,1.05, 0:04.62,1365,600,144.08,18039.53,4.62
138,0,5,0:0:0,0x113:0x113,tesa,10,0,24,2,1,0,-2,3,2,1,spatial,1,0,2,40,50,1,69,1,53508231,717.98,1.97, 0:34.41,2092,600,17.73,21381.91,34.41
139,1,16,0:0:0,0x113:0x113,tesa,10,1,24,2,0,1,-2,3,2,1,spatial,1,0,2,40,50,1,69,0,67192525,841.69,1.53, 0:40.58,2077,600,14.97,26850.16,40.58
140,1,16,1:0:0,0x113:0x113,hex,10,1,24,2,1,1,-2,8,2,1,spatial,1,0,2,40,30,1,69,0,68540613,453.18,1.37, 0:20.86,2178,600,29.4,27388.86,20.86
14,0,1,0:0:0,0:0,dia,0,1,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,89095787,14.23,1.05, 0:01.69,901,600,479.31,35602.71,1.69
141,1,16,0:0:0,0x113:0x113,hex,10,1,24,1,1,0,-2,3,2,1,spatial,1,0,2,None,50,1,69,0,72921274,195.01,1.62, 0:10.48,1875,600,59.9,29139.37,10.48
142,1,16,0:0:0,0x113:0x113,hex,11,0,24,2,0,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,39643430,367.06,1.39, 0:23.67,1556,600,25.84,15841.53,23.67
143,1,16,0:0:0,0x113:0x113,hex,10,1,24,2,1,1,-2,0,None,None,None,None,None,0,0,None,1,69,0,69171512,375.48,1.74, 0:25.16,1498,600,24.28,27640.97,25.16
