configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs,etime
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,11421200,4.24,0.82, 0:01.12,450,499,637.4,4577.64,1.12
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,4275482,13.53,0.77, 0:01.82,783,499,335.31,1713.62,1.82
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,4567397,12.97,0.81, 0:01.57,878,499,385.97,1830.62,1.57
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,4584559,13.21,0.83, 0:01.44,972,499,445.44,1837.5,1.44
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,3938181,23.68,1.01, 0:02.31,1067,499,246.23,1578.43,2.31
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,4119639,14.93,0.82, 0:01.52,1035,499,416.53,1651.16,1.52
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,5080445,11.38,0.8, 0:01.78,682,499,346.79,2036.25,1.78
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,5191050,10.82,0.73, 0:01.65,696,499,364.35,2080.58,1.65
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,4022398,11.06,0.75, 0:01.49,791,499,412.65,1612.18,1.49
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,4198452,12.32,0.84, 0:01.58,833,499,399.72,1682.75,1.58
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,6263760,13.11,0.82, 0:01.64,845,499,381.62,2510.53,1.64
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,7898467,6.51,0.71, 0:01.11,650,499,622.67,3165.72,1.11
111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,4154387,17.87,0.7, 0:01.98,934,499,293.67,1665.08,1.98
112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,4697288,17.07,0.8, 0:01.82,977,499,326.9,1882.68,1.82
113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,4600001,18.92,0.83, 0:02.03,970,499,295.42,1843.69,2.03
114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,4302730,14.81,0.92, 0:01.68,933,499,370.39,1724.54,1.68
115,1,7,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,0,6572475,20.62,0.86, 0:02.11,1017,499,283.18,2634.26,2.11
116,1,3,1:0:0,0x3:0x113,hex,10,1,16,1,1,1,0,3,2,1,auto,1,0,1,40,40,1,69,1,4506731,18.99,0.97, 0:02.79,713,499,201.53,1806.31,2.79
117,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,4600041,18.1,0.85, 0:01.91,989,499,317.9,1843.7,1.91
118,0,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,5142906,17.04,0.83, 0:01.80,988,499,330.06,2061.28,1.8
119,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,4070144,16.65,0.64, 0:01.78,966,499,333.01,1631.32,1.78
120,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,1,69,1,3847548,16.3,0.83, 0:01.70,1004,499,353.54,1542.1,1.7
12,0,1,1:0:0,0:0,dia,2,0,24,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,7898467,6.44,0.73, 0:01.14,627,499,609.66,3165.72,1.14
121,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,spatial,1,0,2,40,40,1,69,0,6170675,16.67,0.73, 0:01.87,927,499,326.32,2473.22,1.87
