configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs,etime
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,100124862,14.5,1.36, 0:02.02,785,500,346.85,40049.94,2.02
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,51765393,65.15,1.63, 0:05.31,1255,500,106.01,20706.16,5.31
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,67422550,71.55,1.43, 0:04.03,1807,500,144.48,26969.02,4.03
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,68013713,81.19,1.3, 0:04.03,2044,500,140.81,27205.49,4.03
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,43091391,121.14,1.61, 0:05.87,2089,500,94.16,17236.56,5.87
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,44375685,78.42,1.58, 0:03.95,2021,500,148.12,17750.27,3.95
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,61898363,59.13,1.24, 0:03.67,1644,500,162.2,24759.35,3.67
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,60154795,57.71,1.38, 0:03.71,1591,500,160.49,24061.92,3.71
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,46907322,48.78,1.43, 0:03.84,1305,500,153.24,18762.93,3.84
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,45941101,57.4,1.45, 0:04.06,1449,500,143.92,18376.44,4.06
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,73304714,64.85,1.38, 0:04.22,1567,500,136.72,29321.89,4.22
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,69165460,21.46,1.34, 0:01.97,1153,500,351.17,27666.18,1.97
111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,43722403,106.67,1.33, 0:05.67,1904,500,98.29,17488.96,5.67
112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,52425782,75.27,1.35, 0:04.34,1764,500,129.93,20970.31,4.34
113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,52297379,84.27,1.63, 0:04.66,1842,500,122.49,20918.95,4.66
114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,46735216,66.29,1.49, 0:04.32,1567,500,133.51,18694.09,4.32
115,1,7,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,0,75385127,115.55,1.48, 0:05.66,2067,500,98.2,30154.05,5.66
116,1,3,1:0:0,0x3:0x113,hex,10,1,16,1,1,1,0,3,2,1,auto,1,0,1,40,40,1,69,1,51932935,119.02,1.48, 0:07.07,1702,500,76.92,20773.17,7.07
117,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,52371844,76.74,1.31, 0:04.41,1766,500,129.78,20948.74,4.41
118,0,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,56694291,79.7,1.7, 0:04.70,1730,500,121.33,22677.72,4.7
119,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,45299714,80.41,1.73, 0:05.50,1491,500,101.6,18119.89,5.5
120,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,1,69,1,45079634,86.96,1.79, 0:05.06,1753,500,109.58,18031.85,5.06
12,0,1,1:0:0,0:0,dia,2,0,24,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,69165460,20.47,1.03, 0:01.87,1145,500,356.38,27666.18,1.87
121,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,spatial,1,0,2,40,40,1,69,0,71317199,92.22,2.11, 0:05.71,1649,500,97.43,28526.88,5.71
