configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs,etime
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,14792661,2.28,0.23, 0:00.47,534,599,1878.16,5921.02,0.47
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,7057179,10.2,0.38, 0:01.60,660,599,415.08,2824.76,1.6
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,9185426,10.97,0.3, 0:01.41,796,599,474.04,3676.63,1.41
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,9222819,12.19,0.37, 0:01.46,858,599,457.23,3691.59,1.46
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,6020757,13.9,0.33, 0:01.52,933,599,433.98,2409.91,1.52
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,6110378,10.86,0.27, 0:01.17,947,599,578.49,2445.79,1.17
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,9982697,8.13,0.32, 0:01.07,788,599,655.95,3995.75,1.07
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,9554743,9.5,0.4, 0:01.22,807,599,553.1,3824.45,1.22
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,6915447,8.52,0.29, 0:01.33,661,599,502.8,2768.03,1.33
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,7039939,9.17,0.25, 0:01.24,758,599,543.31,2817.86,1.24
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,9884590,9.54,0.3, 0:01.25,784,599,537.11,3956.48,1.25
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,10329633,2.89,0.25, 0:00.45,690,599,1866.65,4134.62,0.45
111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,6061927,14.2,0.27, 0:01.49,967,599,446.64,2426.39,1.49
112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,7328496,12.46,0.35, 0:01.52,842,599,437.69,2933.36,1.52
113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,7300822,13.32,0.37, 0:01.51,905,599,441.05,2922.28,1.51
114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,6965010,9.92,0.34, 0:01.20,854,599,573.14,2787.87,1.2
115,1,7,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,0,10100478,14.34,0.3, 0:01.54,950,599,428.13,4042.89,1.54
116,1,3,1:0:0,0x3:0x113,hex,10,1,16,1,1,1,0,3,2,1,auto,1,0,1,40,40,1,69,1,7238672,15.75,0.38, 0:01.86,865,599,351.15,2897.41,1.86
117,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,7305884,12.36,0.34, 0:01.46,867,599,453.2,2924.31,1.46
118,0,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,8612112,11.97,0.27, 0:01.42,861,599,469.57,3447.15,1.42
119,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,6818283,12.37,0.38, 0:01.65,769,599,396.72,2729.14,1.65
