configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs,etime
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,72337932,13.31,1.01, 0:01.90,752,600,432.0,28906.27,1.9
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,31165911,53.93,1.55, 0:04.86,1141,600,137.93,12453.91,4.86
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,45202313,58.94,1.34, 0:03.84,1566,600,180.21,18062.86,3.84
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,45422625,69.11,1.2, 0:04.01,1750,600,171.21,18150.9,4.01
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,22995107,96.73,1.54, 0:05.66,1735,600,118.63,9188.85,5.66
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,23379011,57.18,1.39, 0:03.43,1705,600,212.14,9342.26,3.43
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,44389010,51.55,1.32, 0:03.96,1333,600,179.31,17737.87,3.96
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,42768180,55.6,1.38, 0:04.39,1297,600,160.63,17090.18,4.39
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,30280261,44.42,1.4, 0:03.59,1276,600,200.03,12100.01,3.59
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,30969807,49.88,1.27, 0:03.57,1429,600,202.37,12375.55,3.57
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,51604912,54.24,1.19, 0:03.54,1565,600,197.36,20621.34,3.54
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,39080723,18.39,1.2, 0:02.09,937,600,400.16,15616.67,2.09
111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,24570056,91.35,1.27, 0:05.89,1572,600,113.68,9818.2,5.89
112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,33086158,66.58,1.62, 0:04.61,1478,600,149.94,13221.24,4.61
113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,32993294,68.31,1.1, 0:04.07,1705,600,172.26,13184.13,4.07
114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,31220987,56.23,1.16, 0:03.80,1510,600,182.33,12475.92,3.8
115,1,7,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,0,53549420,92.26,1.37, 0:05.39,1736,600,123.24,21398.37,5.39
116,1,3,1:0:0,0x3:0x113,hex,10,1,16,1,1,1,0,3,2,1,auto,1,0,1,40,40,1,69,1,33014236,95.47,1.29, 0:06.58,1470,600,98.83,13192.5,6.58
117,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,33019909,63.46,1.29, 0:04.00,1618,600,172.12,13194.77,4.0
118,0,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,35325717,70.16,1.45, 0:04.55,1573,600,148.53,14116.17,4.55
