configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs,etime
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,64252827,15.71,1.23, 0:02.01,839,499,348.15,25752.64,2.01
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,44460447,67.98,1.52, 0:06.27,1108,499,87.71,17819.82,6.27
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,49442411,61.64,1.48, 0:04.16,1514,499,138.4,19816.6,4.16
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,49340683,77.96,1.64, 0:04.62,1720,499,123.19,19775.82,4.62
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,41425604,130.04,1.7, 0:06.98,1886,499,77.81,16603.45,6.98
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,41679360,91.54,1.45, 0:05.00,1857,499,112.31,16705.15,5.0
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,62990827,63.17,1.37, 0:04.08,1581,499,144.75,25246.82,4.08
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,59099645,64.79,1.35, 0:03.98,1658,499,144.37,23687.23,3.98
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,43419240,53.18,1.59, 0:05.07,1078,499,110.51,17402.5,5.07
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,45175489,62.05,1.4, 0:05.55,1142,499,99.98,18106.41,5.55
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,51146291,61.03,1.63, 0:05.27,1187,499,106.71,20499.52,5.27
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,47165426,22.6,1.05, 0:01.84,1279,499,363.7,18903.98,1.84
