configurationID,no_8x8dct,no_asm,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,ref,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,True,False,False,True,True,False,True,True,20,9,79002,0.70, 0.06, 0:00.22, 340, 494 , 2248.58 , 38.34
1001,False,False,True,True,True,True,True,True,20,1,102390,0.51, 0.03, 0:00.16, 327, 494 , 3193.83 , 49.69
1002,True,False,False,False,True,False,True,True,60,5,84363,0.58, 0.05, 0:00.20, 311, 494 , 2480.72 , 40.95
1003,False,False,False,True,True,True,False,False,20,9,97426,0.99, 0.03, 0:00.34, 294, 494 , 1437.68 , 47.29
1004,False,False,True,False,False,True,True,False,20,9,100390,0.78, 0.04, 0:00.25, 325, 494 , 2038.32 , 48.72
1005,True,False,False,True,False,True,False,False,20,1,90758,0.50, 0.02, 0:00.15, 348, 494 , 3370.06 , 44.05
1006,False,False,False,False,False,True,True,False,60,5,95588,0.71, 0.03, 0:00.22, 340, 494 , 2307.93 , 46.39
1007,True,False,False,True,False,True,False,False,20,5,90270,0.77, 0.02, 0:00.24, 325, 494 , 2067.88 , 43.81
1008,True,False,False,False,True,False,False,False,20,1,76530,0.43, 0.03, 0:00.14, 330, 494 , 3618.60 , 37.14
1009,False,False,True,True,False,False,True,True,40,9,88365,0.71, 0.02, 0:00.22, 324, 494 , 2290.29 , 42.89
1010,False,False,False,False,False,True,True,False,60,1,94014,0.56, 0.04, 0:00.17, 343, 494 , 2885.53 , 45.63
101,False,False,True,False,False,True,True,True,40,9,100893,0.73, 0.03, 0:00.23, 336, 494 , 2278.93 , 48.97
1011,False,False,False,True,True,True,False,False,20,1,97074,0.54, 0.01, 0:00.16, 337, 494 , 3052.19 , 47.11
1012,False,False,True,False,False,True,True,False,20,1,99678,0.53, 0.04, 0:00.17, 327, 494 , 3007.52 , 48.38
1013,True,False,False,False,True,False,False,False,20,5,76906,0.67, 0.01, 0:00.23, 294, 494 , 2153.58 , 37.33
1014,True,False,False,True,False,True,False,False,20,9,89990,0.89, 0.04, 0:00.29, 320, 494 , 1716.20 , 43.68
1015,True,False,False,True,False,True,True,True,40,1,91586,0.49, 0.03, 0:00.14, 360, 494 , 3501.06 , 44.45
1016,True,False,True,False,True,True,False,True,40,1,97737,0.45, 0.05, 0:00.14, 339, 494 , 3573.13 , 47.44
1017,True,False,True,False,False,False,True,True,20,9,79772,0.59, 0.04, 0:00.18, 335, 494 , 2808.29 , 38.72
1018,True,False,False,True,False,True,True,True,40,5,92308,0.57, 0.05, 0:00.17, 362, 494 , 2923.87 , 44.80
1019,True,False,True,False,False,False,True,True,20,5,80201,0.49, 0.04, 0:00.16, 325, 494 , 3247.05 , 38.93
1020,True,False,True,False,False,True,False,False,20,1,96819,0.49, 0.01, 0:00.15, 339, 494 , 3397.94 , 46.99
102,False,False,False,True,False,False,False,False,60,9,83664,0.77, 0.04, 0:00.28, 283, 494 , 1771.12 , 40.61
1021,True,False,False,False,True,False,False,False,40,1,82278,0.43, 0.04, 0:00.15, 318, 494 , 3370.24 , 39.93
1022,False,False,False,False,True,True,True,False,40,1,96044,0.53, 0.03, 0:00.16, 338, 494 , 3033.50 , 46.61
1023,True,False,False,True,False,True,True,True,40,9,92699,0.73, 0.01, 0:00.20, 363, 494 , 2451.78 , 44.99
1024,True,False,True,False,True,True,False,True,40,9,98020,0.99, 0.02, 0:00.33, 306, 494 , 1538.22 , 47.57
1025,False,False,False,False,True,True,True,False,40,5,98601,0.71, 0.02, 0:00.22, 323, 494 , 2206.29 , 47.86
1026,False,False,True,True,True,True,True,True,20,9,103477,0.85, 0.03, 0:00.26, 333, 494 , 1942.43 , 50.22
1027,True,False,True,False,True,True,False,True,40,5,97869,0.79, 0.03, 0:00.27, 306, 494 , 1908.99 , 47.50
1028,False,False,False,False,True,True,True,False,40,9,98778,0.82, 0.05, 0:00.25, 340, 494 , 1971.16 , 47.94
1029,False,False,True,False,True,False,True,True,60,5,91516,0.60, 0.05, 0:00.22, 291, 494 , 2276.49 , 44.42
1030,True,False,False,False,False,False,False,False,60,1,81961,0.52, 0.02, 0:00.17, 307, 494 , 2874.67 , 39.78
103,True,False,False,True,False,True,False,True,20,5,91023,0.70, 0.04, 0:00.22, 329, 494 , 2235.06 , 44.18
1031,False,False,True,True,False,True,False,True,60,5,100392,0.69, 0.03, 0:00.23, 308, 494 , 2194.04 , 48.72
1032,False,False,True,False,True,False,True,True,60,1,90295,0.47, 0.03, 0:00.17, 293, 494 , 2994.54 , 43.82
1033,True,False,False,False,False,False,False,False,60,5,81402,0.58, 0.04, 0:00.22, 281, 494 , 2307.20 , 39.51
1034,True,False,True,False,False,False,True,True,20,1,79864,0.39, 0.04, 0:00.13, 320, 494 , 3953.30 , 38.76
1035,True,False,False,False,False,False,False,False,60,9,80839,0.86, 0.01, 0:00.29, 296, 494 , 1696.66 , 39.23
1036,True,False,False,True,True,False,False,True,40,5,82578,0.72, 0.05, 0:00.26, 290, 494 , 1906.52 , 40.08
1037,False,False,True,True,False,False,False,True,40,1,89379,0.50, 0.03, 0:00.18, 300, 494 , 2943.26 , 43.38
1038,True,False,False,True,True,False,False,True,40,1,82983,0.43, 0.04, 0:00.14, 322, 494 , 3479.14 , 40.28
1039,False,False,True,True,False,False,False,True,60,9,88344,0.81, 0.04, 0:00.29, 289, 494 , 1735.34 , 42.88
1040,True,False,False,False,False,False,True,True,60,1,82012,0.45, 0.03, 0:00.15, 313, 494 , 3341.25 , 39.80
104,True,False,True,False,False,False,True,True,60,9,86399,0.63, 0.04, 0:00.22, 304, 494 , 2341.93 , 41.93
1041,True,False,False,True,True,False,False,True,20,9,77282,0.97, 0.06, 0:00.33, 310, 494 , 1483.37 , 37.51
1042,False,False,True,False,True,True,True,True,60,9,102891,0.83, 0.04, 0:00.26, 334, 494 , 1960.84 , 49.94
1043,True,False,True,False,False,False,False,True,60,9,84764,0.77, 0.03, 0:00.27, 291, 494 , 1877.98 , 41.14
1044,True,False,False,False,False,False,True,True,60,5,82764,0.55, 0.04, 0:00.18, 315, 494 , 2724.92 , 40.17
1045,False,False,True,False,True,False,True,True,20,9,84868,0.66, 0.03, 0:00.21, 315, 494 , 2399.72 , 41.19
1046,True,False,False,False,False,False,True,True,60,9,82437,0.65, 0.04, 0:00.21, 326, 494 , 2402.74 , 40.01
1047,True,False,True,False,False,False,False,False,20,1,79832,0.49, 0.03, 0:00.16, 320, 494 , 3259.20 , 38.75
1048,False,False,True,False,True,False,True,True,20,5,84980,0.66, 0.03, 0:00.22, 307, 494 , 2323.36 , 41.24
1049,False,False,False,True,True,True,False,False,40,9,97426,0.99, 0.04, 0:00.34, 304, 494 , 1462.88 , 47.29
1050,False,False,False,False,True,True,True,False,20,9,98778,0.76, 0.04, 0:00.23, 337, 494 , 2118.02 , 47.94
105,True,False,False,True,False,True,False,True,20,9,90754,0.89, 0.01, 0:00.28, 315, 494 , 1741.54 , 44.05
1051,False,False,True,True,True,True,True,True,40,5,103925,0.73, 0.03, 0:00.23, 324, 494 , 2192.46 , 50.44
1052,True,False,False,True,False,True,False,False,40,1,90758,0.53, 0.04, 0:00.17, 338, 494 , 2946.32 , 44.05
