configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs,etime
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,7529101,7.93,1.74, 0:02.33,415,599,365.97,3013.65,2.33
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,968598,31.68,2.12, 0:06.49,520,599,104.01,387.7,6.49
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,1309827,26.43,1.89, 0:05.58,506,599,122.24,524.28,5.58
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,1336739,30.14,1.97, 0:05.42,591,599,127.33,535.05,5.42
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,1700569,27.3,1.88, 0:04.07,715,599,172.11,680.68,4.07
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,1753010,26.0,1.92, 0:03.74,745,599,197.18,701.67,3.74
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,1737481,13.66,1.6, 0:03.03,502,599,262.11,695.46,3.03
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,2963698,17.54,1.43, 0:02.98,635,599,252.1,1186.27,2.98
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,979709,20.79,1.91, 0:04.23,536,599,164.23,392.15,4.23
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,993953,25.5,2.13, 0:04.86,567,599,140.53,397.85,4.86
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,1624154,23.42,1.66, 0:05.01,500,599,136.16,650.1,5.01
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,5738115,11.88,1.47, 0:02.11,631,599,391.13,2296.78,2.11
111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,1673627,22.73,1.48, 0:05.30,456,599,127.05,669.9,5.3
112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,1027065,23.23,1.68, 0:05.11,487,599,132.78,411.1,5.11
113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,1020860,23.48,2.01, 0:04.93,517,599,141.2,408.62,4.93
114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,998910,22.8,1.76, 0:05.16,475,599,133.99,399.83,5.16
115,1,7,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,0,1598140,23.47,1.81, 0:05.21,485,599,133.73,639.68,5.21
116,1,3,1:0:0,0x3:0x113,hex,10,1,16,1,1,1,0,3,2,1,auto,1,0,1,40,40,1,69,1,1011934,22.62,1.8, 0:06.36,383,599,105.6,405.04,6.36
117,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,1022870,24.48,2.06, 0:05.37,494,599,129.04,409.42,5.37
118,0,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,1174540,22.71,1.96, 0:05.00,493,599,139.36,470.13,5.0
119,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,906852,28.09,3.16, 0:07.32,426,599,90.36,362.98,7.32
120,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,1,69,1,897714,27.85,2.51, 0:06.98,434,599,95.64,359.33,6.98
12,0,1,1:0:0,0:0,dia,2,0,24,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,5738115,11.39,1.49, 0:02.12,605,599,388.45,2296.78,2.12
121,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,spatial,1,0,2,40,40,1,69,0,1482373,28.28,2.19, 0:07.59,401,599,85.6,593.35,7.59
122,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,1,40,40,1,69,1,912239,28.32,2.54, 0:07.38,417,599,88.45,365.14,7.38
123,1,3,1:0:0,0x3:0x113,hex,11,1,16,0,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,893587,27.02,2.19, 0:08.60,339,599,75.66,357.67,8.6
124,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,0,50,0,69,0,3041839,26.89,2.35, 0:06.37,459,599,105.91,1217.55,6.37
125,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,0,69,0,3041840,27.63,2.58, 0:06.43,469,599,104.1,1217.55,6.43
126,1,3,0:0:0,0x3:0x3,hex,7,1,16,1,0,0,-2,16,2,1,auto,1,0,2,0,50,0,69,0,3058050,28.45,2.43, 0:06.38,483,599,105.74,1224.04,6.38
