configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs,etime
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,56983222,6.75,0.92, 0:01.34,571,600,596.03,22793.29,1.34
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,35786192,33.12,0.97, 0:03.70,920,600,179.79,14314.48,3.7
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,50093908,36.24,1.2, 0:03.39,1103,600,199.79,20037.56,3.39
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,49849953,35.65,1.19, 0:03.08,1194,600,221.05,19939.98,3.08
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,27719056,49.5,1.19, 0:03.59,1410,600,187.1,11087.62,3.59
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,27874341,31.6,1.12, 0:02.40,1360,600,294.73,11149.74,2.4
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,43375870,34.56,1.19, 0:02.87,1242,600,241.17,17350.35,2.87
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,41533148,35.45,1.15, 0:02.87,1272,600,241.0,16613.26,2.87
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,35710793,23.37,1.31, 0:02.57,960,600,272.02,14284.32,2.57
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,36214121,27.4,0.99, 0:02.58,1100,600,270.69,14485.65,2.58
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,53551132,28.42,1.12, 0:02.67,1106,600,263.84,21420.45,2.67
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,46159882,9.54,1.01, 0:01.40,750,600,575.64,18463.95,1.4
111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,28743098,46.51,1.16, 0:03.92,1215,600,169.78,11497.24,3.92
112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,36122477,35.28,0.91, 0:02.91,1241,600,238.14,14448.99,2.91
113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,35791428,45.38,1.28, 0:03.66,1272,600,182.8,14316.57,3.66
114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,35632845,35.08,1.19, 0:03.13,1155,600,217.73,14253.14,3.13
