configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs,etime
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,2059776,0.81,0.09, 0:00.21,426,148,1399.05,1220.83,0.21
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,810633,2.9,0.2, 0:00.68,455,148,252.36,480.46,0.68
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,639266,2.46,0.14, 0:00.51,505,148,341.77,378.89,0.51
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,651145,2.58,0.16, 0:00.49,559,148,371.96,385.94,0.49
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,872601,4.94,0.52, 0:00.90,607,148,183.17,517.19,0.9
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,898996,3.0,0.13, 0:00.39,803,148,485.19,532.84,0.39
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,1132551,2.09,0.13, 0:00.38,583,148,505.95,671.27,0.38
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,1095989,1.89,0.19, 0:00.39,535,148,506.51,649.6,0.39
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,780843,2.16,0.16, 0:00.43,532,148,422.15,462.81,0.43
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,784827,2.36,0.14, 0:00.43,572,148,415.1,465.17,0.43
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,837959,2.22,0.14, 0:00.46,508,148,391.88,496.66,0.46
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,1198910,1.04,0.12, 0:00.21,533,148,1141.87,710.6,0.21
111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,915018,4.75,0.65, 0:01.06,508,148,150.71,542.33,1.06
112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,853842,3.33,0.38, 0:00.66,556,148,254.31,506.07,0.66
113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,848074,3.3,0.4, 0:00.60,609,148,281.18,502.66,0.6
114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,767609,3.29,0.37, 0:00.63,573,148,271.09,454.96,0.63
115,1,7,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,0,885393,3.82,0.81, 0:01.03,448,148,157.49,524.77,1.03
116,1,3,1:0:0,0x3:0x113,hex,10,1,16,1,1,1,0,3,2,1,auto,1,0,1,40,40,1,69,1,846102,4.13,0.98, 0:01.15,443,148,139.31,501.49,1.15
117,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,848097,3.45,0.61, 0:00.86,472,148,193.34,502.67,0.86
118,0,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,948098,3.52,0.56, 0:00.76,531,148,220.49,561.94,0.76
119,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,721399,3.51,3.55, 0:03.90,180,148,38.9,427.58,3.9
120,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,1,69,1,710295,3.54,0.85, 0:01.20,364,148,132.3,420.99,1.2
12,0,1,1:0:0,0:0,dia,2,0,24,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,1198910,1.06,0.12, 0:00.23,511,148,1050.14,710.6,0.23
121,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,spatial,1,0,2,40,40,1,69,0,770507,3.38,0.47, 0:00.83,462,148,199.23,456.68,0.83
122,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,1,40,40,1,69,1,721164,3.34,0.16, 0:00.63,549,148,268.32,427.44,0.63
