configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs,etime
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,18814218,5.8,0.86, 0:01.33,500,600,617.24,7518.17,1.33
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,10396972,22.04,0.98, 0:03.07,750,600,221.86,4154.63,3.07
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,13980718,20.93,0.87, 0:02.49,875,600,277.28,5586.7,2.49
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,14075110,24.49,1.02, 0:02.64,966,600,263.01,5624.42,2.64
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,10606017,46.17,1.19, 0:04.75,996,600,136.17,4238.17,4.75
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,10772971,28.75,0.92, 0:03.02,982,600,223.92,4304.88,3.02
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,12377413,18.57,0.93, 0:02.13,913,600,336.55,4946.02,2.13
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,12333851,18.15,0.97, 0:02.07,922,600,356.18,4928.61,2.07
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,10168666,18.73,0.92, 0:02.47,795,600,281.54,4063.4,2.47
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,10695798,20.43,0.99, 0:02.80,763,600,246.14,4274.05,2.8
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,16364736,21.31,1.09, 0:02.80,799,600,246.57,6539.36,2.8
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,13334711,9.08,1.02, 0:01.39,724,600,578.97,5328.56,1.39
111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,10174115,26.26,1.04, 0:03.10,880,600,218.98,4065.58,3.1
112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,10723003,24.0,0.82, 0:02.97,834,600,229.69,4284.92,2.97
113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,10701712,27.73,0.85, 0:03.09,923,600,218.57,4276.41,3.09
114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,10145431,23.41,0.82, 0:03.06,790,600,224.32,4054.12,3.06
115,1,7,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,0,15729635,29.95,0.86, 0:03.43,895,600,194.19,6285.57,3.43
116,1,3,1:0:0,0x3:0x113,hex,10,1,16,1,1,1,0,3,2,1,auto,1,0,1,40,40,1,69,1,10368710,28.46,0.95, 0:03.84,765,600,172.2,4143.34,3.84
117,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,10699391,24.51,0.78, 0:02.98,846,600,227.84,4275.48,2.98
118,0,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,12305390,25.27,0.77, 0:02.97,876,600,232.4,4917.24,2.97
119,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,10191638,24.94,1.35, 0:03.36,781,600,199.23,4072.58,3.36
120,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,1,69,1,10115785,24.48,0.99, 0:03.09,824,600,218.13,4042.27,3.09
12,0,1,1:0:0,0:0,dia,2,0,24,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,13334711,7.96,0.82, 0:01.27,687,600,643.54,5328.56,1.27
121,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,spatial,1,0,2,40,40,1,69,0,15844757,24.08,0.88, 0:03.13,795,600,215.22,6331.57,3.13
122,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,1,40,40,1,69,1,10187470,23.56,1.02, 0:03.19,768,600,210.38,4070.92,3.19
123,1,3,1:0:0,0x3:0x113,hex,11,1,16,0,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,10172123,26.33,0.93, 0:04.25,641,600,153.57,4064.78,4.25
124,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,0,50,0,69,0,12090352,23.49,1.1, 0:02.52,975,600,280.12,4831.31,2.52
125,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,0,69,0,12097040,25.8,1.16, 0:02.62,1027,600,262.86,4833.98,2.62
126,1,3,0:0:0,0x3:0x3,hex,7,1,16,1,0,0,-2,16,2,1,auto,1,0,2,0,50,0,69,0,12557337,26.05,1.06, 0:02.66,1016,600,260.67,5017.92,2.66
127,1,5,1:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,10416052,21.27,0.79, 0:02.32,948,600,305.64,4162.26,2.32
128,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,10504579,22.22,0.83, 0:02.40,959,600,293.63,4197.63,2.4
129,0,5,0:0:0,0x3:0x3,dia,4,1,24,1,0,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,12136267,23.67,0.82, 0:02.40,1018,600,293.56,4849.66,2.4
130,1,5,0:0:0,0x3:0x113,dia,4,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,10310439,19.53,1.05, 0:01.90,1081,600,386.83,4120.06,1.9
13,0,1,1:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,18787414,5.52,0.73, 0:01.19,522,600,692.67,7507.46,1.19
