configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs,etime
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,9341978,7.89,1.31, 0:01.81,506,499,383.13,3744.28,1.81
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,2450466,23.82,1.66, 0:03.20,796,499,190.58,982.15,3.2
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,2359251,18.82,1.39, 0:02.58,782,499,248.71,945.59,2.58
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,2400883,23.24,1.35, 0:02.59,947,499,246.43,962.28,2.59
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,3071417,29.89,1.32, 0:02.76,1129,499,227.53,1231.03,2.76
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,3187376,25.84,1.33, 0:02.49,1088,499,261.71,1277.51,2.49
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,2846226,13.87,1.04, 0:02.27,656,499,288.35,1140.77,2.27
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,3449243,18.41,1.25, 0:02.52,778,499,245.85,1382.46,2.52
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,2451023,17.84,1.42, 0:02.65,726,499,239.39,982.37,2.65
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,2395099,18.88,1.61, 0:02.67,766,499,238.63,959.96,2.67
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,3242622,18.97,1.4, 0:02.66,764,499,238.76,1299.65,2.66
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,7095006,12.29,1.41, 0:01.98,692,499,358.5,2843.69,1.98
111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,3133235,29.27,1.19, 0:02.73,1115,499,232.75,1255.81,2.73
112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,2667664,27.51,1.48, 0:02.99,967,499,206.54,1069.2,2.99
113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,2611305,28.07,1.41, 0:02.97,991,499,208.3,1046.62,2.97
114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,2510107,26.06,1.54, 0:02.97,928,499,208.31,1006.05,2.97
115,1,7,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,0,3439275,33.62,1.51, 0:03.00,1170,499,206.53,1378.47,3.0
116,1,3,1:0:0,0x3:0x113,hex,10,1,16,1,1,1,0,3,2,1,auto,1,0,1,40,40,1,69,1,2589963,29.2,1.21, 0:03.45,881,499,172.18,1038.06,3.45
117,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,2607707,27.43,1.66, 0:02.93,990,499,211.52,1045.17,2.93
118,0,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,2943126,28.91,1.57, 0:03.05,997,499,200.68,1179.61,3.05
119,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,2304893,27.54,2.08, 0:03.09,957,499,197.88,923.8,3.09
120,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,1,69,1,2204607,27.1,2.17, 0:03.07,951,499,199.35,883.61,3.07
12,0,1,1:0:0,0:0,dia,2,0,24,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,7095006,11.54,1.42, 0:01.91,676,499,362.88,2843.69,1.91
121,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,spatial,1,0,2,40,40,1,69,0,3081337,27.19,2.16, 0:02.98,984,499,208.98,1235.0,2.98
122,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,1,40,40,1,69,1,2329665,26.79,1.92, 0:03.01,953,499,204.95,933.73,3.01
123,1,3,1:0:0,0x3:0x113,hex,11,1,16,0,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,2425720,28.85,1.81, 0:04.16,737,499,138.74,972.23,4.16
