configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs,etime
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,22446302,9.47,1.58, 0:02.29,482,599,369.34,8984.53,2.29
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,3900866,32.58,1.84, 0:03.93,875,599,183.35,1561.39,3.93
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,4133733,27.12,1.51, 0:03.05,937,599,252.85,1654.6,3.05
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,4188174,32.24,1.55, 0:03.20,1053,599,235.44,1676.39,3.2
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,4339052,62.6,1.45, 0:04.08,1567,599,175.81,1736.78,4.08
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,4487672,40.33,1.35, 0:02.81,1481,599,277.22,1796.27,2.81
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,8280007,26.84,1.27, 0:02.75,1019,599,290.1,3314.22,2.75
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,5665202,24.53,1.55, 0:03.11,838,599,248.01,2267.6,3.11
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,3656836,24.47,1.54, 0:03.02,858,599,253.56,1463.71,3.02
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,3808029,27.49,1.53, 0:03.20,905,599,235.12,1524.23,3.2
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,5165029,26.93,1.86, 0:03.28,877,599,228.77,2067.39,3.28
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,11583582,15.48,1.71, 0:02.48,693,599,326.14,4636.53,2.48
111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,4779622,48.67,1.22, 0:03.17,1570,599,232.82,1913.13,3.17
112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,4332629,46.95,1.4, 0:03.37,1431,599,214.06,1734.21,3.37
113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,4243468,47.2,1.4, 0:03.42,1420,599,216.07,1698.52,3.42
114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,3866540,43.07,1.54, 0:03.60,1238,599,203.74,1547.65,3.6
115,1,7,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,0,5366911,53.31,1.4, 0:03.54,1545,599,209.48,2148.2,3.54
116,1,3,1:0:0,0x3:0x113,hex,10,1,16,1,1,1,0,3,2,1,auto,1,0,1,40,40,1,69,1,4158129,46.78,1.63, 0:04.26,1136,599,166.2,1664.36,4.26
117,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,4246638,47.98,1.53, 0:03.58,1379,599,204.48,1699.79,3.58
118,0,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,4713555,44.82,1.47, 0:03.56,1300,599,206.7,1886.68,3.56
119,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,3709896,44.63,1.98, 0:03.77,1235,599,194.63,1484.95,3.77
120,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,1,69,1,3562193,47.01,1.93, 0:03.54,1381,599,207.31,1425.83,3.54
12,0,1,1:0:0,0:0,dia,2,0,24,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,11583582,14.82,1.28, 0:02.11,762,599,384.06,4636.53,2.11
121,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,spatial,1,0,2,40,40,1,69,0,5084745,40.26,1.69, 0:03.41,1228,599,216.72,2035.26,3.41
122,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,1,40,40,1,69,1,3705653,45.26,2.05, 0:03.91,1208,599,184.8,1483.25,3.91
123,1,3,1:0:0,0x3:0x113,hex,11,1,16,0,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,3716368,46.67,1.66, 0:05.14,940,599,134.5,1487.54,5.14
124,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,0,50,0,69,0,5967799,52.07,1.62, 0:03.28,1633,599,228.16,2388.72,3.28
125,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,0,69,0,5967800,46.74,1.88, 0:03.22,1506,599,233.41,2388.72,3.22
126,1,3,0:0:0,0x3:0x3,hex,7,1,16,1,0,0,-2,16,2,1,auto,1,0,2,0,50,0,69,0,6118653,43.37,1.87, 0:02.97,1518,599,260.44,2449.1,2.97
127,1,5,1:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,3719366,27.56,1.49, 0:02.89,1005,599,258.92,1488.74,2.89
128,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,3710091,31.61,1.49, 0:02.83,1168,599,265.17,1485.03,2.83
129,0,5,0:0:0,0x3:0x3,dia,4,1,24,1,0,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,4322861,31.59,1.75, 0:02.89,1151,599,256.64,1730.3,2.89
130,1,5,0:0:0,0x3:0x113,dia,4,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,3907659,31.42,1.7, 0:02.90,1139,599,265.85,1564.11,2.9
13,0,1,1:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,22313724,9.87,1.57, 0:02.16,528,599,401.14,8931.46,2.16
131,1,5,0:0:0,0x3:0x3,dia,4,0,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,4382979,35.31,1.53, 0:02.73,1349,599,288.85,1754.36,2.73
132,1,7,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,4386699,38.61,1.58, 0:03.09,1297,599,247.66,1755.85,3.09
133,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,auto,1,0,2,40,20,0,69,1,4322096,32.51,1.61, 0:03.05,1116,599,249.5,1729.99,3.05
134,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,None,1,69,1,4246638,45.08,1.48, 0:03.34,1393,599,223.24,1699.79,3.34
135,1,3,1:0:0,0x3:0x113,hex,11,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,7249659,39.84,1.27, 0:03.62,1134,599,202.16,2901.8,3.62
136,1,5,0:0:0,0x3:0x113,hex,7,1,16,1,1,1,0,0,None,None,None,None,None,0,0,None,1,69,0,10063811,36.86,1.48, 0:04.09,936,599,172.44,4028.22,4.09
137,1,3,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,7202113,31.8,1.11, 0:02.95,1112,599,261.31,2882.77,2.95
138,0,5,0:0:0,0x113:0x113,tesa,10,0,24,2,1,0,-2,3,2,1,spatial,1,0,2,40,50,1,69,1,4387743,166.26,1.88, 0:11.79,1426,599,53.91,1756.27,11.79
139,1,16,0:0:0,0x113:0x113,tesa,10,1,24,2,0,1,-2,3,2,1,spatial,1,0,2,40,50,1,69,0,4977139,327.56,2.04, 0:15.63,2107,599,40.09,1992.19,15.63
140,1,16,1:0:0,0x113:0x113,hex,10,1,24,2,1,1,-2,8,2,1,spatial,1,0,2,40,30,1,69,0,4558846,133.93,1.77, 0:07.35,1845,599,89.56,1824.76,7.35
14,0,1,0:0:0,0:0,dia,0,1,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,22446302,9.08,1.71, 0:02.27,474,599,371.97,8984.53,2.27
141,1,16,0:0:0,0x113:0x113,hex,10,1,24,1,1,0,-2,3,2,1,spatial,1,0,2,None,50,1,69,0,5578468,118.73,1.61, 0:06.31,1905,599,106.4,2232.88,6.31
