configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs,etime
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,11905169,2.26,0.33, 0:00.56,462,599,1565.36,4765.25,0.56
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,3769707,9.86,0.45, 0:01.77,580,599,377.1,1508.89,1.77
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,5156212,8.92,0.42, 0:01.38,677,599,498.53,2063.86,1.38
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,5208119,10.63,0.37, 0:01.43,766,599,476.78,2084.64,1.43
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,3364837,12.51,0.35, 0:01.58,814,599,428.48,1346.83,1.58
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,3430557,9.31,0.35, 0:01.08,890,599,665.9,1373.14,1.08
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,5638955,8.66,0.39, 0:01.57,576,599,436.15,2257.09,1.57
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,5546863,8.45,0.47, 0:01.54,578,599,443.26,2220.23,1.54
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,3777758,7.8,0.4, 0:01.36,602,599,510.46,1512.11,1.36
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,3852819,8.06,0.39, 0:01.35,625,599,517.06,1542.16,1.35
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,5792244,8.89,0.41, 0:01.47,629,599,463.66,2318.45,1.47
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,6593930,3.29,0.26, 0:00.58,611,599,1512.17,2639.34,0.58
111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,3478504,12.61,0.31, 0:01.63,792,599,406.91,1392.33,1.63
112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,4064242,10.46,0.4, 0:01.56,692,599,425.69,1626.78,1.56
113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,4055179,11.28,0.48, 0:01.64,717,599,413.41,1623.16,1.64
114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,3869069,9.45,0.41, 0:01.49,660,599,460.42,1548.66,1.49
115,1,7,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,0,6042309,11.98,0.41, 0:01.63,756,599,413.53,2418.54,1.63
116,1,3,1:0:0,0x3:0x113,hex,10,1,16,1,1,1,0,3,2,1,auto,1,0,1,40,40,1,69,1,4061229,13.23,0.56, 0:02.10,653,599,311.97,1625.58,2.1
117,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,4061008,10.61,0.38, 0:01.53,714,599,444.49,1625.49,1.53
118,0,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,4340716,11.0,0.35, 0:01.60,709,599,425.6,1737.45,1.6
119,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,3675230,10.36,0.43, 0:01.66,649,599,405.88,1471.08,1.66
120,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,1,69,1,3653848,10.58,0.44, 0:01.58,694,599,425.58,1462.52,1.58
12,0,1,1:0:0,0:0,dia,2,0,24,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,6593930,3.11,0.28, 0:00.57,589,599,1509.44,2639.34,0.57
121,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,spatial,1,0,2,40,40,1,69,0,5537951,10.52,0.46, 0:01.61,680,599,419.02,2216.66,1.61
122,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,1,40,40,1,69,1,3683002,10.34,0.41, 0:01.65,652,599,410.41,1474.19,1.65
123,1,3,1:0:0,0x3:0x113,hex,11,1,16,0,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,3693013,12.17,0.33, 0:02.11,593,599,308.14,1478.19,2.11
124,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,0,50,0,69,0,3879732,9.62,0.37, 0:01.25,800,599,564.52,1552.93,1.25
125,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,0,69,0,3953161,9.61,0.36, 0:01.25,793,599,556.62,1582.32,1.25
126,1,3,0:0:0,0x3:0x3,hex,7,1,16,1,0,0,-2,16,2,1,auto,1,0,2,0,50,0,69,0,3926001,9.89,0.44, 0:01.26,817,599,554.11,1571.45,1.26
127,1,5,1:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,3880792,7.91,0.42, 0:01.23,675,599,574.72,1553.35,1.23
128,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,3945240,8.45,0.47, 0:01.18,756,599,602.1,1579.15,1.18
129,0,5,0:0:0,0x3:0x3,dia,4,1,24,1,0,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,4178347,9.45,0.42, 0:01.37,718,599,508.16,1672.46,1.37
130,1,5,0:0:0,0x3:0x113,dia,4,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,3335312,6.76,0.38, 0:00.78,914,599,1003.53,1335.02,0.78
13,0,1,1:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,11884420,2.54,0.31, 0:00.55,513,599,1586.18,4756.95,0.55
131,1,5,0:0:0,0x3:0x3,dia,4,0,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,3418493,7.93,0.38, 0:00.90,917,599,828.99,1368.31,0.9
132,1,7,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,3416917,8.89,0.35, 0:00.96,957,599,762.44,1367.68,0.96
133,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,auto,1,0,2,40,20,0,69,1,3356611,7.57,0.34, 0:00.95,826,599,773.05,1343.54,0.95
134,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,None,1,69,1,4061008,10.67,0.42, 0:01.56,711,599,437.23,1625.49,1.56
135,1,3,1:0:0,0x3:0x113,hex,11,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,4673875,11.99,0.31, 0:02.27,542,599,286.92,1870.8,2.27
136,1,5,0:0:0,0x3:0x113,hex,7,1,16,1,1,1,0,0,None,None,None,None,None,0,0,None,1,69,0,7599323,12.22,0.42, 0:02.43,519,599,267.65,3041.76,2.43
137,1,3,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,4644998,10.17,0.27, 0:01.75,596,599,385.99,1859.24,1.75
138,0,5,0:0:0,0x113:0x113,tesa,10,0,24,2,1,0,-2,3,2,1,spatial,1,0,2,40,50,1,69,1,4139816,54.07,0.64, 0:08.21,666,599,74.71,1657.03,8.21
139,1,16,0:0:0,0x113:0x113,tesa,10,1,24,2,0,1,-2,3,2,1,spatial,1,0,2,40,50,1,69,0,5736578,73.2,0.65, 0:08.12,909,599,75.58,2296.17,8.12
