configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs,etime
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,11856979,2.09,0.24, 0:00.45,510,499,1650.35,4752.3,0.45
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,7170721,10.34,0.28, 0:01.56,678,499,353.6,2874.04,1.56
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,9467130,10.7,0.23, 0:01.42,767,499,383.05,3794.44,1.42
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,9469166,11.31,0.28, 0:01.47,786,499,371.14,3795.26,1.47
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,7110324,22.41,0.43, 0:03.13,728,499,167.08,2849.83,3.13
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,7091543,13.84,0.37, 0:01.69,838,499,323.96,2842.3,1.69
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,9566773,8.9,0.24, 0:01.05,871,499,548.99,3834.38,1.05
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,9373156,8.99,0.24, 0:01.08,856,499,529.96,3756.78,1.08
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,7043637,8.73,0.31, 0:01.47,612,499,375.39,2823.1,1.47
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,7884026,10.14,0.35, 0:01.44,725,499,384.48,3159.93,1.44
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,11172019,11.48,0.37, 0:01.60,738,499,343.09,4477.76,1.6
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,8835623,2.99,0.22, 0:00.46,700,499,1613.8,3541.33,0.46
111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,6945127,14.08,0.33, 0:01.87,769,499,288.79,2783.62,1.87
112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,7309549,12.4,0.4, 0:01.72,744,499,318.24,2929.68,1.72
113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,7299257,13.25,0.34, 0:01.78,763,499,306.37,2925.55,1.78
114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,7033373,9.98,0.37, 0:01.48,696,499,373.54,2818.99,1.48
115,1,7,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,0,10012710,16.61,0.39, 0:02.23,761,499,240.17,4013.11,2.23
116,1,3,1:0:0,0x3:0x113,hex,10,1,16,1,1,1,0,3,2,1,auto,1,0,1,40,40,1,69,1,7130597,14.56,0.37, 0:02.10,709,499,256.71,2857.95,2.1
117,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,7305441,12.54,0.33, 0:01.73,740,499,311.94,2928.03,1.73
118,0,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,8912917,13.46,0.36, 0:01.79,769,499,304.2,3572.31,1.79
119,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,7715328,11.75,0.4, 0:01.58,769,499,348.61,3092.32,1.58
120,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,1,69,1,7698749,10.87,0.33, 0:01.45,771,499,382.56,3085.67,1.45
12,0,1,1:0:0,0:0,dia,2,0,24,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,8835623,3.25,0.17, 0:00.49,693,499,1424.59,3541.33,0.49
121,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,spatial,1,0,2,40,40,1,69,0,10972316,12.67,0.36, 0:01.72,756,499,316.68,4397.72,1.72
122,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,1,40,40,1,69,1,7727539,10.97,0.38, 0:01.51,751,499,365.33,3097.21,1.51
123,1,3,1:0:0,0x3:0x113,hex,11,1,16,0,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,7762580,13.73,0.35, 0:02.00,701,499,268.35,3111.25,2.0
124,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,0,50,0,69,0,9073887,10.75,0.39, 0:01.43,778,499,388.13,3636.83,1.43
125,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,0,69,0,9073888,11.48,0.3, 0:01.52,775,499,363.05,3636.83,1.52
