configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs,etime
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,5842457,1.57,0.22, 0:00.41,438,600,2253.72,2334.65,0.41
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,2496219,7.29,0.36, 0:01.39,547,600,480.74,997.49,1.39
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,2917584,6.28,0.26, 0:01.04,627,600,650.12,1165.87,1.04
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,2952176,6.94,0.25, 0:01.01,708,600,673.12,1179.69,1.01
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,2173223,8.94,0.27, 0:01.18,775,600,564.01,868.42,1.18
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,2241111,6.58,0.24, 0:00.86,788,600,828.55,895.55,0.86
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,3546785,4.9,0.22, 0:00.88,582,600,814.56,1417.3,0.88
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,3430322,5.26,0.27, 0:00.90,609,600,780.63,1370.76,0.9
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,2482020,5.44,0.24, 0:00.99,572,600,704.32,991.82,0.99
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,2500381,5.88,0.26, 0:01.02,597,600,679.92,999.15,1.02
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,3287544,5.75,0.33, 0:01.00,606,600,699.38,1313.7,1.0
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,3187886,1.97,0.2, 0:00.39,555,600,2344.96,1273.88,0.39
111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,2225901,9.57,0.19, 0:01.22,796,600,543.03,889.47,1.22
112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,2611443,6.72,0.3, 0:01.05,662,600,660.96,1043.53,1.05
113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,2600335,8.39,0.27, 0:01.22,706,600,557.22,1039.09,1.22
114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,2473082,7.03,0.3, 0:01.15,633,600,595.07,988.24,1.15
115,1,7,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,0,3409490,8.58,0.3, 0:01.20,735,600,565.53,1362.43,1.2
116,1,3,1:0:0,0x3:0x113,hex,10,1,16,1,1,1,0,3,2,1,auto,1,0,1,40,40,1,69,1,2598405,9.62,0.36, 0:01.50,663,600,442.15,1038.32,1.5
117,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,2606945,7.1,0.22, 0:01.10,662,600,623.31,1041.74,1.1
118,0,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,2925426,7.36,0.27, 0:01.15,664,600,599.1,1169.0,1.15
119,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,2401459,7.8,0.28, 0:01.29,626,600,524.54,959.62,1.29
120,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,1,69,1,2391079,7.21,0.36, 0:01.24,611,600,548.04,955.48,1.24
12,0,1,1:0:0,0:0,dia,2,0,24,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,3187886,2.05,0.23, 0:00.40,563,600,2187.99,1273.88,0.4
121,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,spatial,1,0,2,40,40,1,69,0,3191790,7.14,0.28, 0:01.17,632,600,580.3,1275.44,1.17
122,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,1,40,40,1,69,1,2405881,7.47,0.3, 0:01.27,608,600,518.41,961.39,1.27
123,1,3,1:0:0,0x3:0x113,hex,11,1,16,0,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,2468776,9.35,0.2, 0:01.73,552,600,373.34,986.52,1.73
124,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,0,50,0,69,0,2333676,6.5,0.24, 0:01.00,671,600,692.62,932.54,1.0
125,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,0,69,0,2366275,6.72,0.31, 0:01.02,686,600,678.37,945.56,1.02
