id_video,conf5,conf10,conf15,conf20,conf25,conf30
0,8,8,8,67,177,104
1,8,41,123,168,168,168
2,4,106,4,32,32,4
3,1,60,19,104,4,91
4,0,99,2,6,6,10
5,2,2,2,9,100,20
6,1,100,91,105,1,80
7,0,62,1,2,16,31
8,1,198,123,123,168,21
9,1,1,9,73,8,100
10,5,12,192,4,46,85
11,7,89,123,179,153,89
12,1,106,15,25,8,25
13,26,11,1,62,26,61
14,4,81,13,78,177,177
15,6,134,134,123,123,25
16,2,25,62,24,50,24
17,74,3,168,197,166,15
18,9,9,9,62,75,106
19,11,100,11,100,62,100
20,0,4,101,32,95,40
21,1,11,12,97,57,100
22,1,17,153,1,197,169
23,1,17,14,4,9,190
24,10,45,62,93,100,54
25,2,9,91,60,190,169
26,8,51,2,100,100,8
27,32,75,75,32,32,194
28,1,42,179,42,23,91
29,123,8,123,123,91,21
30,2,1,89,137,195,25
31,0,8,112,29,42,192
32,2,0,21,46,187,190
33,2,9,166,2,23,53
34,8,1,68,97,51,137
35,10,23,0,7,86,7
36,1,27,8,179,184,67
37,29,4,34,0,76,34
38,2,70,2,16,39,98
39,1,7,85,20,21,76
40,5,65,35,47,71,111
41,20,61,23,62,165,47
42,13,13,134,8,46,169
43,1,89,89,62,123,8
44,2,2,25,123,25,2
45,10,71,26,39,32,71
46,104,32,15,46,104,104
47,123,123,123,166,168,177
48,1,2,23,15,91,91
49,39,10,185,88,42,147
50,8,85,69,75,8,23
51,1,4,26,46,23,36
52,2,32,32,2,134,2
53,8,60,25,62,169,170
54,21,70,20,10,164,112
55,2,5,11,4,32,31
56,25,2,123,74,137,170
57,9,93,85,94,28,26
58,62,25,91,13,62,198
59,67,32,4,8,104,46
60,1,89,21,123,168,89
61,5,8,12,34,34,7
62,95,67,67,89,123,123
63,4,4,17,104,104,104
64,1,9,29,7,13,12
65,1,1,180,62,21,89
66,4,5,4,61,61,38
67,1,9,15,2,42,165
68,2,8,2,177,1,1
69,80,26,91,80,168,8
70,2,123,8,113,15,113
71,74,123,4,4,171,187
72,34,9,1,5,168,4
73,1,32,32,34,4,4
74,1,123,94,75,96,195
75,164,96,15,2,164,2
76,1,20,17,21,17,56
77,1,4,32,32,32,104
78,4,4,7,56,104,34
79,0,6,28,26,32,70
80,193,1,21,21,21,168
81,174,2,194,123,3,123
82,20,91,123,123,91,197
83,4,56,103,56,56,166
84,62,12,169,180,60,103
85,100,4,26,54,12,169
86,4,1,62,83,161,169
87,4,32,4,32,32,32
88,8,5,35,57,190,135
89,2,15,26,67,19,74
90,1,1,1,62,62,75
91,8,93,20,91,91,171
92,1,134,19,134,23,23
93,9,29,4,9,123,9
94,123,1,23,8,46,123
95,160,6,89,123,153,169
96,1,13,15,192,2,92
97,1,4,5,4,36,67
98,9,20,20,1,123,153
99,10,67,3,3,89,20
100,2,6,88,92,2,3
101,2,23,2,3,2,2
102,81,34,123,165,26,36
103,13,143,84,165,143,123
104,20,172,20,162,104,123
105,13,64,170,123,9,1
106,2,14,14,174,26,8
107,2,0,15,88,2,88
108,1,27,1,61,179,134
109,6,1,9,1,5,20
110,21,123,9,169,2,169
111,0,0,6,186,92,197
112,89,89,166,123,8,168
113,29,38,5,60,40,195
114,6,15,63,76,12,179
115,20,0,91,91,104,10
116,1,12,4,4,4,12
117,2,0,2,3,2,170
118,3,91,20,20,24,168
119,4,8,20,123,15,170
120,6,84,140,31,1,150
121,4,3,15,165,136,112
122,1,47,60,92,75,80
123,52,40,9,107,170,40
124,9,4,73,4,95,20
125,123,89,89,20,123,123
126,8,195,50,195,62,20
127,104,1,12,38,5,123
128,165,20,104,104,165,165
129,2,7,169,171,168,165
130,135,41,20,65,123,26
131,123,3,123,5,123,123
132,2,2,154,26,2,179
133,2,32,2,23,60,41
134,1,196,134,112,18,2
135,177,28,29,75,94,8
136,1,15,14,15,106,29
137,0,26,75,28,168,10
138,4,60,68,106,46,36
139,0,5,29,2,47,47
140,1,5,196,92,12,130
141,1,63,6,90,164,60
142,4,12,4,4,15,166
143,1,1,15,123,170,153
144,8,38,38,171,95,165
145,4,2,2,123,169,166
146,8,85,48,48,48,76
147,8,123,123,123,123,197
148,10,2,2,24,166,21
149,4,17,2,2,45,23
150,8,1,80,107,65,65
151,1,7,7,27,67,6
152,5,15,179,26,165,179
153,0,0,70,5,71,35
154,161,39,7,91,28,51
155,0,12,12,12,32,4
156,11,2,153,53,153,153
157,1,2,2,166,166,169
158,89,89,21,62,89,9
159,8,67,69,123,63,166
160,9,41,9,89,10,196
161,1,4,62,15,176,155
162,4,17,123,21,123,123
163,9,4,4,9,5,26
164,75,7,67,75,118,60
165,8,21,8,20,165,89
166,1,19,123,19,60,164
167,2,69,0,16,81,60
168,32,134,91,25,134,91
169,27,4,50,193,3,65
170,1,8,62,15,7,100
171,1,98,43,2,177,2
172,1,106,39,1,60,106
173,8,75,38,12,187,9
174,4,4,12,39,46,57
175,2,10,2,2,3,2
176,104,16,113,3,21,43
177,2,9,68,130,4,32
178,4,9,8,8,62,8
179,26,185,21,1,15,97
180,91,40,75,38,40,97
181,13,4,4,100,46,171
182,67,26,50,123,8,96
183,4,4,46,60,93,93
184,26,98,169,27,60,26
185,1,5,24,1,20,85
186,20,195,126,67,85,94
187,0,164,74,91,65,26
188,4,165,1,13,97,93
189,0,62,31,87,3,2
190,17,32,34,168,171,89
191,4,123,123,4,130,130
192,4,172,16,134,98,10
193,4,32,4,5,32,32
194,4,4,111,67,67,48
195,2,91,2,93,107,93
196,2,67,2,9,23,175
197,2,38,145,38,69,73
198,4,4,4,32,36,104
199,25,25,5,12,4,38
200,1,62,64,62,85,62
201,60,6,7,180,155,32
202,2,11,11,162,194,104
203,8,9,20,62,20,165
204,123,21,123,123,169,166
205,23,84,28,2,2,2
206,14,3,104,172,91,91
207,20,2,169,168,49,169
208,38,38,62,170,62,69
209,4,4,32,48,85,130
210,20,103,32,172,190,46
211,21,123,74,78,123,123
212,1,2,172,27,29,172
213,4,32,32,165,36,1
214,1,34,4,123,165,169
215,4,137,1,169,56,169
216,10,11,118,72,12,72
217,38,187,38,64,166,123
218,4,12,4,4,4,46
219,9,0,91,49,36,31
220,8,46,4,15,40,46
221,38,32,32,42,130,161
222,1,169,52,23,58,160
223,8,26,89,31,160,10
224,54,26,46,169,26,169
225,9,54,3,2,71,84
226,1,42,8,168,20,170
227,4,4,32,4,27,160
228,2,91,123,123,43,43
229,62,2,2,71,164,2
230,1,2,192,15,92,112
231,5,8,86,123,111,12
232,1,16,45,39,2,179
233,12,4,60,8,32,12
234,8,26,60,153,35,32
235,21,8,8,9,40,85
236,13,12,20,12,61,61
237,4,4,137,38,38,68
238,32,4,4,76,46,160
239,21,123,89,21,89,169
240,32,104,46,46,187,104
241,95,14,5,89,13,169
242,4,30,4,91,179,34
243,21,168,57,31,168,31
244,9,32,4,46,32,46
245,123,3,2,166,2,170
246,13,15,62,32,32,4
247,1,1,74,104,70,70
248,1,34,12,170,190,12
249,4,160,4,57,5,34
250,196,4,32,12,32,46
251,12,12,32,32,104,68
252,15,19,28,2,2,2
253,2,74,15,27,9,91
254,29,2,21,168,32,174
255,30,0,134,196,69,104
256,4,11,95,24,11,103
257,15,168,21,89,62,134
258,186,62,62,195,199,188
259,8,2,89,168,40,94
260,2,14,3,123,170,91
261,2,26,34,35,41,38
262,2,12,28,105,119,10
263,26,26,29,130,130,160
264,4,13,4,20,32,32
265,1,2,2,2,60,160
266,60,32,35,4,169,160
267,20,0,7,111,32,130
268,8,20,123,123,165,123
269,140,8,62,62,62,62
270,20,4,32,32,32,130
271,13,10,93,6,147,7
272,1,56,0,2,135,3
273,1,28,25,4,134,4
274,21,46,85,12,12,12
275,4,140,9,8,4,35
276,52,46,6,2,2,62
277,2,2,2,170,169,170
278,15,2,168,175,168,196
279,1,2,182,184,153,168
280,60,5,12,15,60,32
281,7,61,41,7,31,175
282,1,23,177,35,14,170
283,17,15,107,48,170,97
284,1,67,184,169,169,104
285,26,119,190,2,27,71
286,0,176,98,31,32,104
287,69,5,98,190,12,59
288,1,2,168,123,169,123
289,8,12,4,135,73,128
290,2,9,2,168,9,164
291,1,4,27,32,32,4
292,1,4,38,38,175,6
293,138,52,32,32,72,115
294,12,1,4,38,12,34
