id_video,conf5,conf10,conf15,conf20,conf25,conf30
0,0,0,0,0,33,0
1,0,0,0,0,11,99
2,0,11,36,88,0,0
3,0,0,0,0,33,0
4,0,0,0,0,0,0
5,0,0,0,0,0,114
6,0,0,11,0,0,44
7,22,0,0,0,0,11
8,2,113,0,11,0,0
9,0,0,0,111,110,163
10,11,11,11,11,55,121
11,4,0,0,33,22,0
12,0,0,0,22,0,0
13,0,168,33,22,11,33
14,2,0,11,88,34,11
15,0,0,0,11,0,0
16,0,0,44,0,0,0
17,0,22,22,0,0,77
18,0,0,0,0,0,117
19,0,0,0,0,0,55
20,0,0,0,22,0,22
21,0,0,0,33,0,55
22,0,0,0,114,0,0
23,6,11,11,11,11,11
24,0,0,33,0,0,0
25,0,0,0,44,55,0
26,0,0,0,0,0,0
27,11,0,22,116,11,11
28,0,0,11,0,55,66
29,0,0,0,0,0,0
30,11,0,0,0,0,0
31,0,0,0,0,0,0
32,11,116,22,116,11,22
33,0,0,0,0,0,0
34,0,0,0,0,0,0
35,11,0,44,0,11,11
36,5,0,0,0,33,88
37,0,0,0,0,0,0
38,0,0,117,55,0,0
39,0,0,0,0,0,0
40,0,0,129,0,0,33
41,0,111,113,0,0,55
42,0,0,111,0,88,0
43,0,22,11,44,149,44
44,1,0,113,11,11,55
45,0,0,0,0,0,0
46,0,0,0,0,0,0
47,0,44,0,136,44,0
48,11,33,22,11,0,11
49,0,0,0,33,11,11
50,0,111,33,0,0,33
51,0,0,0,0,0,11
52,0,0,0,22,33,0
53,8,11,55,11,11,11
54,11,11,11,11,11,11
55,0,0,132,0,0,0
56,0,0,77,11,0,110
57,0,0,0,0,0,44
58,0,11,36,117,121,55
59,0,82,44,126,116,126
60,0,0,0,22,33,33
61,0,0,0,0,0,111
62,0,131,0,22,15,66
63,0,150,120,22,44,0
64,0,0,11,11,11,22
65,0,154,0,0,0,0
66,2,0,0,116,0,0
67,0,0,16,0,0,0
68,49,0,130,0,0,33
69,0,0,0,33,44,44
70,0,0,0,66,66,66
71,0,0,11,0,0,0
72,0,0,44,11,11,33
73,0,0,0,0,11,11
74,0,0,0,0,33,0
75,0,0,0,0,33,11
76,32,0,0,0,116,33
77,0,0,0,0,11,0
78,0,0,44,33,0,33
79,5,0,44,0,0,121
80,0,0,0,0,33,44
81,0,0,0,11,0,33
82,2,34,114,0,22,0
83,11,22,11,33,22,22
84,0,111,0,0,0,0
85,0,0,186,0,0,0
86,32,0,0,0,0,0
87,2,20,0,20,146,187
88,0,0,0,22,0,33
89,0,113,0,0,0,129
90,55,55,55,55,44,55
91,17,33,11,99,115,22
