id_video,conf5,conf10,conf15,conf20,conf25,conf30
0,1,1,13,100,41,100
1,4,7,83,85,42,103
2,4,12,100,43,95,100
3,41,4,6,98,91,97
4,12,1,10,100,62,25
5,25,42,42,56,104,100
6,1,84,41,84,92,100
7,4,41,62,41,42,41
8,12,71,98,108,112,83
9,91,83,12,100,78,83
10,52,41,12,100,42,102
11,12,41,3,101,100,4
12,84,13,46,109,100,42
13,54,42,41,67,100,100
14,0,101,65,46,103,46
15,83,100,38,42,41,48
16,1,41,20,100,67,83
17,96,101,1,41,48,41
18,50,28,41,48,41,100
19,12,41,42,56,100,53
20,1,3,1,83,100,85
21,3,20,64,1,83,83
22,83,1,62,200,103,4
23,1,62,42,83,42,83
24,12,2,25,109,106,108
25,1,17,42,46,41,101
26,4,4,109,46,100,41
27,1,112,16,83,6,103
28,3,19,38,14,43,108
29,38,62,119,100,17,68
30,0,83,103,48,85,41
31,1,1,4,46,41,4
32,4,4,25,23,42,100
33,9,4,41,65,41,83
34,3,10,59,46,41,68
35,20,4,38,100,83,85
36,4,20,54,100,100,41
37,7,108,83,42,62,100
38,12,91,101,46,100,41
39,1,100,42,20,91,38
40,12,41,62,41,41,41
41,4,58,42,42,108,100
42,12,100,62,83,42,102
43,41,103,97,100,108,100
44,1,1,100,48,101,41
45,46,1,58,89,41,100
46,2,1,12,83,63,100
47,41,100,13,85,100,107
48,9,41,83,101,69,98
49,83,42,96,42,83,46
50,41,98,83,42,102,105
51,56,34,41,95,95,41
52,18,4,43,91,41,48
53,42,41,83,4,83,4
54,41,42,31,100,101,42
55,1,16,54,41,103,42
56,103,40,4,100,41,41
57,5,42,12,43,42,12
58,6,43,103,41,41,98
59,83,42,84,41,100,41
60,11,100,41,46,100,100
61,41,41,12,64,83,103
62,1,100,43,42,101,103
63,7,13,80,42,41,25
64,4,3,100,102,42,41
65,26,3,4,100,100,100
66,62,8,42,41,41,41
67,12,41,74,2,41,1
68,41,4,85,62,103,104
69,41,46,42,112,101,63
70,12,13,83,98,46,200
71,41,50,85,91,200,200
72,200,83,40,100,102,95
73,1,43,43,98,84,41
74,38,1,83,43,41,83
75,1,85,1,95,100,104
76,41,47,38,83,4,4
77,103,12,42,101,100,41
78,38,62,41,41,109,105
79,6,41,41,62,42,42
80,38,1,26,100,41,46
81,4,67,48,42,104,46
82,5,41,104,100,42,101
83,1,17,41,85,46,41
84,12,5,8,102,42,95
85,4,81,100,20,85,100
86,42,43,100,83,100,42
87,100,1,63,62,41,41
88,42,100,100,41,65,101
89,20,84,46,4,100,97
90,12,41,20,83,100,100
91,49,92,1,1,13,41
92,1,95,42,43,85,83
93,1,42,42,42,95,100
94,1,45,42,84,43,41
95,1,177,1,7,100,104
96,11,1,1,1,100,90
97,2,4,28,46,100,83
98,4,100,64,102,100,1
99,96,3,101,1,109,100
