id_video,conf5,conf10,conf15,conf20,conf25,conf30
0,41,41,41,42,100,102
1,45,102,101,41,98,41
2,41,4,42,41,41,46
3,20,20,42,106,42,100
4,4,41,41,94,41,98
5,41,4,42,41,41,42
6,1,1,41,100,100,42
7,1,42,41,41,100,41
8,41,42,41,41,100,106
9,17,42,42,100,100,100
10,41,41,41,103,98,41
11,41,48,41,41,42,100
12,42,1,42,41,41,98
13,1,45,93,102,48,48
14,5,100,98,98,41,98
15,45,41,41,98,98,98
16,1,100,100,41,48,41
17,20,83,46,83,85,83
18,41,41,45,42,41,100
19,17,100,41,42,98,100
20,41,41,41,41,100,100
21,1,41,101,98,41,83
22,1,1,100,101,100,83
23,1,42,100,41,101,42
24,1,41,103,41,98,41
25,1,41,42,41,100,103
26,12,101,103,100,42,85
27,17,42,103,100,103,42
28,8,42,41,41,41,100
29,1,41,41,41,103,48
30,4,41,106,41,98,100
31,3,41,41,42,41,41
32,41,4,41,100,43,41
33,41,1,42,42,42,42
34,25,41,41,41,103,42
35,41,83,41,100,100,83
36,43,41,41,41,41,41
37,25,41,41,98,98,98
38,25,41,85,83,84,100
39,41,42,41,49,100,102
40,41,41,41,41,109,100
41,41,46,41,48,46,100
42,12,17,41,100,42,42
43,103,41,100,102,41,42
44,41,101,41,41,42,42
45,20,17,20,25,25,25
46,41,83,41,100,85,48
47,1,42,41,42,41,42
48,41,42,41,41,42,42
49,41,41,41,41,41,100
50,1,98,41,41,41,98
51,1,41,98,98,100,98
52,41,42,41,41,42,100
53,25,42,103,102,104,100
54,25,41,41,42,103,101
55,1,1,100,102,100,102
56,25,25,102,64,42,102
57,41,4,103,42,100,106
58,1,42,100,100,42,42
59,41,41,100,42,41,42
60,4,100,41,42,41,42
61,41,49,41,48,41,48
62,20,104,20,42,100,200
63,39,41,41,98,98,189
64,75,41,100,100,84,100
65,85,41,100,41,100,41
66,41,42,42,103,42,100
67,10,41,46,46,41,100
68,42,103,100,85,85,85
69,42,41,41,42,41,103
70,41,100,41,42,100,100
71,41,41,41,41,41,41
72,7,100,103,41,42,103
73,41,41,95,41,41,102
74,41,41,42,41,103,42
75,4,100,100,41,103,42
76,38,48,42,42,100,48
77,4,41,62,41,41,47
78,1,83,100,42,83,105
79,41,41,41,48,103,41
80,42,41,42,100,42,100
81,41,41,41,42,41,41
82,41,41,52,41,100,42
83,100,41,41,41,43,103
84,17,41,42,42,98,41
85,17,102,101,100,42,100
86,104,100,42,100,42,100
87,100,42,42,91,86,91
88,41,4,102,48,41,103
89,100,41,103,102,100,42
90,5,41,41,41,103,103
91,41,41,41,102,100,106
